ID,운동명(한글),운동명(영문),대분류,소분류,주동근,보조근,기구,운동유형,난이도
243,핸드스탠드 푸시업,Handstand Push-Up,어깨,기능성,전면삼각근,삼두근·코어,맨몸,Compound,Advanced
244,머슬업,Muscle-Up,전신,기능성,광배근·대흉근,이두근·삼두근,맨몸,Compound,Advanced
245,키핑 풀업,Kipping Pull-Up,등,기능성,광배근,코어·이두근,맨몸,Compound,Intermediate
246,데빌 프레스,Devil Press,전신,기능성,둔근·삼각근,대흉근·코어,덤벨,Compound,Advanced
247,맨메이커,Man Maker,전신,기능성,대흉근·삼각근,광배근·코어,덤벨,Compound,Advanced
248,쓰러스터,Thruster,전신,기능성,대퇴사두·삼각근,둔근·삼두근,바벨,Compound,Intermediate
249,아메리칸 케틀벨 스윙,American Kettlebell Swing,전신,기능성,둔근·삼각근,햄스트링·코어,케틀벨,Compound,Intermediate
250,GHD 싯업,GHD Sit-Up,코어,기능성,복직근,고관절굴근,머신,Isolation,Intermediate
251,베어 크롤,Bear Crawl,전신,기능성,코어·어깨,대퇴사두,맨몸,Compound,Beginner
252,크랩 워크,Crab Walk,전신,기능성,삼두근·둔근,코어,맨몸,Compound,Beginner
253,로잉 머신,Rowing Machine,유산소,유산소,광배근·대퇴사두,둔근·이두근,머신,Compound,Beginner
254,어썰트 바이크,Assault Bike,유산소,유산소,대퇴사두·삼각근,햄스트링,머신,Compound,Beginner
255,스키 에르그,Ski Erg,유산소,유산소,광배근·삼두근,코어,머신,Compound,Beginner
256,트레드밀 러닝,Treadmill Running,유산소,유산소,대퇴사두·비복근,햄스트링·둔근,머신,Compound,Beginner
257,일립티컬,Elliptical Trainer,유산소,유산소,대퇴사두·둔근,햄스트링,머신,Compound,Beginner
258,스테어 클라이머,Stair Climber,유산소,유산소,둔근·대퇴사두,비복근,머신,Compound,Beginner
259,덤벨 익스터널 로테이션,Dumbbell External Rotation,어깨,재활,극하근·소원근,후면삼각근,덤벨,Isolation,Beginner
260,덤벨 인터널 로테이션,Dumbbell Internal Rotation,어깨,재활,견갑하근,대흉근,덤벨,Isolation,Beginner
261,케이블 익스터널 로테이션,Cable External Rotation,어깨,재활,극하근·소원근,후면삼각근,케이블,Isolation,Beginner
262,엠티 캔 레이즈,Empty Can Raise,어깨,재활,극상근,측면삼각근,덤벨,Isolation,Beginner
263,풀 캔 레이즈,Full Can Raise,어깨,재활,극상근,측면삼각근,덤벨,Isolation,Beginner
264,스캡션,Scaption,어깨,재활,극상근·삼각근,전거근,덤벨,Isolation,Beginner
265,밴드 익스터널 로테이션,Band External Rotation,어깨,재활,극하근·소원근,후면삼각근,밴드,Isolation,Beginner
266,프론 코브라,Prone Cobra,등,재활,중하부승모근,능형근·후면삼각근,맨몸,Isolation,Beginner
267,월 슬라이드,Wall Slide,어깨,재활,중하부승모근,전거근,맨몸,Isolation,Beginner
268,스캐퓰러 풀업,Scapular Pull-Up,등,재활,하부승모근,광배근,맨몸,Isolation,Intermediate
269,클램쉘,Clamshell,하체,재활,중둔근,대둔근,밴드,Isolation,Beginner
270,파이어 하이드런트,Fire Hydrant,하체,재활,중둔근,대둔근,맨몸,Isolation,Beginner
271,싱글 레그 글루트 브릿지,Single-Leg Glute Bridge,하체,재활,둔근,햄스트링,맨몸,Isolation,Beginner
272,도네키 킥,Donkey Kick,하체,재활,대둔근,햄스트링,맨몸,Isolation,Beginner
273,캣 카우,Cat-Cow,코어,스트레칭,척추기립근,복횡근,맨몸,Isolation,Beginner
274,차일드 포즈,Child's Pose,등,스트레칭,광배근,척추기립근,맨몸,Isolation,Beginner
275,카프 스트레치,Calf Stretch,하체,스트레칭,비복근,가자미근,맨몸,Isolation,Beginner
276,스탠딩 햄스트링 스트레치,Standing Hamstring Stretch,하체,스트레칭,햄스트링,비복근,맨몸,Isolation,Beginner
277,피겨4 스트레치,Figure-4 Stretch,하체,스트레칭,둔근,이상근,맨몸,Isolation,Beginner
278,코브라 스트레치,Cobra Stretch,코어,스트레칭,복직근,고관절굴근,맨몸,Isolation,Beginner
279,다운독,Downward Dog,전신,스트레칭,햄스트링·어깨,비복근,맨몸,Isolation,Beginner
280,90/90 힙 스트레치,90/90 Hip Stretch,하체,스트레칭,둔근·이상근,고관절,맨몸,Isolation,Beginner
281,폼롤러 IT밴드 릴리즈,Foam Roller IT Band,하체,스트레칭,장경인대,대퇴근막장근,기타,Isolation,Beginner
282,폼롤러 흉추 릴리즈,Foam Roller Thoracic,등,스트레칭,흉추기립근,능형근,기타,Isolation,Beginner
283,해머 스트렝스 아이소레터럴 로우,Hammer Strength Iso-Lateral Row,등,머신,광배근,능형근·이두근,머신,Compound,Beginner
284,해머 스트렝스 체스트 프레스,Hammer Strength Chest Press,가슴,머신,대흉근,삼두근·전면삼각근,머신,Compound,Beginner
285,해머 스트렝스 숄더 프레스,Hammer Strength Shoulder Press,어깨,머신,전면삼각근,삼두근,머신,Compound,Beginner
286,해머 스트렝스 풀다운,Hammer Strength Pulldown,등,머신,광배근,이두근,머신,Compound,Beginner
287,해머 스트렝스 레그 프레스,Hammer Strength Leg Press,하체,머신,대퇴사두,둔근·햄스트링,머신,Compound,Beginner
288,라이프 피트니스 체스트 프레스,Life Fitness Chest Press,가슴,머신,대흉근,삼두근,머신,Compound,Beginner
289,라이프 피트니스 레그 익스텐션,Life Fitness Leg Extension,하체,머신,대퇴사두,-,머신,Isolation,Beginner
290,테크노짐 펙토럴 머신,Technogym Pectoral Machine,가슴,머신,대흉근,전면삼각근,머신,Isolation,Beginner
291,매트릭스 시티드 로우,Matrix Seated Row,등,머신,광배근,능형근·이두근,머신,Compound,Beginner
292,사이벡스 레그 프레스,Cybex Leg Press,하체,머신,대퇴사두,둔근,머신,Compound,Beginner
293,펜듈럼 스쿼트,Pendulum Squat,하체,머신,대퇴사두,둔근,머신,Compound,Intermediate
294,V-스쿼트 머신,V-Squat Machine,하체,머신,대퇴사두,둔근,머신,Compound,Intermediate
295,글루트 드라이브 머신,Glute Drive Machine,하체,머신,대둔근,햄스트링,머신,Isolation,Beginner
296,어시스티드 딥 머신,Assisted Dip Machine,팔,머신,삼두근,대흉근,머신,Compound,Beginner
297,백 익스텐션 머신,Back Extension Machine,등,머신,척추기립근,둔근·햄스트링,머신,Isolation,Beginner
298,토르소 로테이션 머신,Torso Rotation Machine,코어,머신,복사근,복직근,머신,Isolation,Beginner
299,앱도미널 크런치 머신,Abdominal Crunch Machine,코어,머신,복직근,복사근,머신,Isolation,Beginner
300,스미스 머신 힙 쓰러스트,Smith Machine Hip Thrust,하체,머신,둔근,햄스트링,스미스,Compound,Beginner
301,와이드 그립 벤치프레스,Wide-Grip Bench Press,가슴,중부가슴,대흉근,삼두근·전면삼각근,바벨,Compound,Intermediate
302,클로즈 그립 푸시업,Close-Grip Push-Up,가슴,중부가슴,대흉근,삼두근,맨몸,Compound,Beginner
303,와이드 푸시업,Wide Push-Up,가슴,중부가슴,대흉근,전면삼각근,맨몸,Compound,Beginner
304,아처 푸시업,Archer Push-Up,가슴,중부가슴,대흉근,삼두근,맨몸,Compound,Advanced
305,스파이더맨 푸시업,Spider-Man Push-Up,가슴,중부가슴,대흉근,코어·삼두근,맨몸,Compound,Intermediate
306,하이 케이블 플라이,High Cable Fly,가슴,하부가슴,대흉근 하부,전면삼각근,케이블,Isolation,Intermediate
307,인클라인 케이블 플라이,Incline Cable Fly,가슴,상부가슴,대흉근 상부,전면삼각근,케이블,Isolation,Intermediate
308,싱글 암 케이블 크로스오버,Single-Arm Cable Crossover,가슴,중부가슴,대흉근,전면삼각근,케이블,Isolation,Intermediate
309,스미스 머신 인클라인 프레스,Smith Machine Incline Press,가슴,상부가슴,대흉근 상부,삼두근,스미스,Compound,Beginner
310,스미스 머신 디클라인 프레스,Smith Machine Decline Press,가슴,하부가슴,대흉근 하부,삼두근,스미스,Compound,Beginner
311,인클라인 머신 체스트 프레스,Incline Machine Chest Press,가슴,상부가슴,대흉근 상부,삼두근,머신,Compound,Beginner
312,싱글 암 덤벨 벤치프레스,Single-Arm Dumbbell Bench Press,가슴,중부가슴,대흉근,코어·삼두근,덤벨,Compound,Intermediate
313,뉴트럴 그립 덤벨 프레스,Neutral-Grip Dumbbell Press,가슴,중부가슴,대흉근,삼두근,덤벨,Compound,Beginner
314,스쿼즈 프레스,Squeeze Press,가슴,중부가슴,대흉근,삼두근,덤벨,Compound,Intermediate
315,디클라인 덤벨 플라이,Decline Dumbbell Fly,가슴,하부가슴,대흉근 하부,전면삼각근,덤벨,Isolation,Intermediate
316,와이드 그립 바벨 로우,Wide-Grip Barbell Row,등,광배근,광배근·후면삼각근,능형근,바벨,Compound,Intermediate
317,언더핸드 바벨 로우,Underhand Barbell Row,등,광배근,광배근·이두근,능형근,바벨,Compound,Intermediate
318,와이드 그립 케이블 로우,Wide-Grip Cable Row,등,광배근,광배근·후면삼각근,능형근,케이블,Compound,Beginner
319,싱글 암 케이블 로우,Single-Arm Cable Row,등,광배근,광배근,이두근,케이블,Compound,Beginner
320,뉴트럴 그립 랫 풀다운,Neutral-Grip Lat Pulldown,등,광배근,광배근,이두근,케이블,Compound,Beginner
321,비하인드 넥 풀다운,Behind-the-Neck Pulldown,등,광배근,광배근 상부,능형근,케이블,Compound,Advanced
322,싱글 암 랫 풀다운,Single-Arm Lat Pulldown,등,광배근,광배근,이두근,케이블,Compound,Intermediate
323,케이블 풀오버,Cable Pullover,등,광배근,광배근,대원근,케이블,Isolation,Intermediate
324,머신 풀오버,Machine Pullover,등,광배근,광배근,대원근,머신,Isolation,Beginner
325,인클라인 벤치 덤벨 로우,Incline Bench Dumbbell Row,등,능형근,능형근·광배근,후면삼각근,덤벨,Compound,Beginner
326,스미스 머신 벤트오버 로우,Smith Machine Bent-Over Row,등,광배근,광배근·능형근,후면삼각근,스미스,Compound,Beginner
327,데피싯 데드리프트,Deficit Deadlift,등,척추기립근,척추기립근·둔근,햄스트링,바벨,Compound,Advanced
328,블록 풀,Block Pull,등,척추기립근,척추기립근·승모근,둔근,바벨,Compound,Intermediate
329,비하인드 백 슈러그,Behind-the-Back Shrug,등,승모근,상부승모근,전완근,바벨,Isolation,Intermediate
330,케이블 슈러그,Cable Shrug,등,승모근,상부승모근,전완근,케이블,Isolation,Beginner
331,싱글 암 머신 로우,Single-Arm Machine Row,등,광배근,광배근,이두근,머신,Compound,Beginner
332,어시스티드 친업,Assisted Chin-Up,등,광배근,광배근·이두근,능형근,머신,Compound,Beginner
333,클로즈 뉴트럴 그립 시티드 로우,Close Neutral-Grip Seated Row,등,광배근,광배근 하부,이두근,케이블,Compound,Beginner
334,싱글 암 덤벨 숄더 프레스,Single-Arm Dumbbell Shoulder Press,어깨,전면삼각근,전면삼각근,코어·삼두근,덤벨,Compound,Intermediate
335,시티드 바벨 오버헤드 프레스,Seated Barbell Overhead Press,어깨,전면삼각근,전면삼각근,삼두근,바벨,Compound,Intermediate
336,시티드 덤벨 숄더 프레스,Seated Dumbbell Shoulder Press,어깨,전면삼각근,전면·측면삼각근,삼두근,덤벨,Compound,Beginner
337,리닝 케이블 레터럴 레이즈,Leaning Cable Lateral Raise,어깨,측면삼각근,측면삼각근,상부승모근,케이블,Isolation,Intermediate
338,라잉 사이드 레터럴 레이즈,Lying Side Lateral Raise,어깨,측면삼각근,측면삼각근,후면삼각근,덤벨,Isolation,Intermediate
339,케이블 Y 레이즈,Cable Y-Raise,어깨,측면삼각근,측면·후면삼각근,하부승모근,케이블,Isolation,Intermediate
340,인클라인 리어 델트 레이즈,Incline Rear Delt Raise,어깨,후면삼각근,후면삼각근,능형근,덤벨,Isolation,Beginner
341,시티드 벤트오버 레터럴 레이즈,Seated Bent-Over Lateral Raise,어깨,후면삼각근,후면삼각근,능형근,덤벨,Isolation,Beginner
342,케틀벨 보텀업 프레스,Kettlebell Bottoms-Up Press,어깨,전면삼각근,전면삼각근,코어·전완근,케틀벨,Compound,Advanced
343,Z 프레스,Z Press,어깨,전면삼각근,전면삼각근,코어·삼두근,바벨,Compound,Advanced
344,브래드포드 프레스,Bradford Press,어깨,측면삼각근,전면·측면삼각근,삼두근,바벨,Compound,Intermediate
345,쿠반 프레스,Cuban Press,어깨,후면삼각근,후면삼각근·회전근개,승모근,덤벨,Compound,Advanced
346,플레이트 어라운드 더 월드,Plate Around the World,어깨,전면삼각근,전면·측면삼각근,코어,원판,Isolation,Intermediate
347,싱글 암 케이블 레터럴 레이즈,Single-Arm Cable Lateral Raise,어깨,측면삼각근,측면삼각근,상부승모근,케이블,Isolation,Beginner
348,덤벨 푸시 프레스,Dumbbell Push Press,어깨,전면삼각근,전면삼각근·대퇴사두,삼두근,덤벨,Compound,Intermediate
349,와이드 그립 바벨 컬,Wide-Grip Barbell Curl,팔,이두근,이두근 단두,전완근,바벨,Isolation,Beginner
350,클로즈 그립 바벨 컬,Close-Grip Barbell Curl,팔,이두근,이두근 장두,전완근,바벨,Isolation,Beginner
351,케이블 EZ바 컬,Cable EZ-Bar Curl,팔,이두근,이두근,전완근,케이블,Isolation,Beginner
352,싱글 암 케이블 컬,Single-Arm Cable Curl,팔,이두근,이두근,전완근,케이블,Isolation,Beginner
353,하이 케이블 컬,High Cable Curl,팔,이두근,이두근 장두,전완근,케이블,Isolation,Intermediate
354,머신 비셉스 컬,Machine Biceps Curl,팔,이두근,이두근,전완근,머신,Isolation,Beginner
355,크로스 바디 해머 컬,Cross-Body Hammer Curl,팔,이두근,이두근·상완근,전완근,덤벨,Isolation,Beginner
356,시티드 덤벨 컬,Seated Dumbbell Curl,팔,이두근,이두근,전완근,덤벨,Isolation,Beginner
357,리버스 EZ바 컬,Reverse EZ-Bar Curl,팔,전완근,상완요골근·전완근,이두근,바벨,Isolation,Intermediate
358,케이블 프리처 컬,Cable Preacher Curl,팔,이두근,이두근 단두,전완근,케이블,Isolation,Intermediate
359,클로즈 그립 푸시다운,Close-Grip Pushdown,팔,삼두근,삼두근 내측두,-,케이블,Isolation,Beginner
360,싱글 암 케이블 푸시다운,Single-Arm Cable Pushdown,팔,삼두근,삼두근,-,케이블,Isolation,Beginner
361,V바 푸시다운,V-Bar Pushdown,팔,삼두근,삼두근,-,케이블,Isolation,Beginner
362,인클라인 덤벨 트라이셉스 익스텐션,Incline Dumbbell Triceps Extension,팔,삼두근,삼두근 장두,-,덤벨,Isolation,Intermediate
363,케이블 라잉 트라이셉스 익스텐션,Cable Lying Triceps Extension,팔,삼두근,삼두근,-,케이블,Isolation,Intermediate
364,테이트 프레스,Tate Press,팔,삼두근,삼두근,대흉근,덤벨,Isolation,Intermediate
365,클로즈 그립 덤벨 플로어 프레스,Close-Grip Dumbbell Floor Press,팔,삼두근,삼두근,대흉근,덤벨,Compound,Intermediate
366,인클라인 케이블 컬,Incline Cable Curl,팔,이두근,이두근 장두,전완근,케이블,Isolation,Intermediate
367,밴드 오버헤드 트라이셉스 익스텐션,Band Overhead Triceps Extension,팔,삼두근,삼두근 장두,-,밴드,Isolation,Beginner
368,바벨 리스트 컬,Barbell Wrist Curl,팔,전완근,전완 굴근,-,바벨,Isolation,Beginner
369,포즈 스쿼트,Pause Squat,하체,대퇴사두,대퇴사두·둔근,코어,바벨,Compound,Intermediate
370,템포 스쿼트,Tempo Squat,하체,대퇴사두,대퇴사두·둔근,햄스트링,바벨,Compound,Intermediate
371,세이프티 바 스쿼트,Safety Bar Squat,하체,대퇴사두,대퇴사두·둔근,척추기립근,바벨,Compound,Intermediate
372,와이드 스탠스 레그 프레스,Wide-Stance Leg Press,하체,둔근,둔근·내전근,대퇴사두,머신,Compound,Beginner
373,클로즈 스탠스 레그 프레스,Close-Stance Leg Press,하체,대퇴사두,대퇴사두,둔근,머신,Compound,Beginner
374,싱글 레그 레그 프레스,Single-Leg Leg Press,하체,대퇴사두,대퇴사두·둔근,햄스트링,머신,Compound,Intermediate
375,싱글 레그 익스텐션,Single-Leg Extension,하체,대퇴사두,대퇴사두,-,머신,Isolation,Beginner
376,싱글 레그 컬,Single-Leg Curl,하체,햄스트링,햄스트링,비복근,머신,Isolation,Beginner
377,스탠딩 싱글 레그 컬,Standing Single-Leg Curl,하체,햄스트링,햄스트링,비복근,머신,Isolation,Beginner
378,덤벨 루마니안 데드리프트,Dumbbell Romanian Deadlift,하체,햄스트링,햄스트링·둔근,척추기립근,덤벨,Compound,Beginner
379,싱글 레그 루마니안 데드리프트,Single-Leg Romanian Deadlift,하체,햄스트링,햄스트링·둔근,코어,덤벨,Compound,Advanced
380,스티프 레그 데드리프트,Stiff-Leg Deadlift,하체,햄스트링,햄스트링,둔근·척추기립근,바벨,Compound,Intermediate
381,리버스 런지,Reverse Lunge,하체,대퇴사두,대퇴사두·둔근,햄스트링,덤벨,Compound,Beginner
382,사이드 런지,Side Lunge,하체,내전근,내전근·둔근,대퇴사두,덤벨,Compound,Intermediate
383,덤벨 스텝다운,Dumbbell Step-Down,하체,대퇴사두,대퇴사두·둔근,코어,덤벨,Compound,Intermediate
384,스플릿 스쿼트,Split Squat,하체,대퇴사두,대퇴사두·둔근,햄스트링,덤벨,Compound,Beginner
385,랜드마인 스쿼트,Landmine Squat,하체,대퇴사두,대퇴사두·둔근,코어,랜드마인,Compound,Beginner
386,동키 카프 레이즈,Donkey Calf Raise,하체,비복근,비복근,가자미근,머신,Isolation,Intermediate
387,싱글 레그 카프 레이즈,Single-Leg Calf Raise,하체,비복근,비복근,가자미근,덤벨,Isolation,Beginner
388,케이블 풀스루,Cable Pull-Through,하체,둔근,둔근·햄스트링,척추기립근,케이블,Compound,Beginner
389,디클라인 크런치,Decline Crunch,코어,복직근,복직근 상부,복사근,맨몸,Isolation,Intermediate
390,로우 투 하이 케이블 찹,Low-to-High Cable Chop,코어,복사근,복사근,복직근,케이블,Compound,Intermediate
391,행잉 윈드쉴드 와이퍼,Hanging Windshield Wiper,코어,복사근,복사근·복직근,광배근,맨몸,Isolation,Advanced
392,덤벨 사이드 벤드,Dumbbell Side Bend,코어,복사근,복사근,요방형근,덤벨,Isolation,Beginner
393,케이블 사이드 벤드,Cable Side Bend,코어,복사근,복사근,요방형근,케이블,Isolation,Beginner
394,토 터치 크런치,Toe-Touch Crunch,코어,복직근,복직근 상부,-,맨몸,Isolation,Beginner
395,플러터 킥,Flutter Kick,코어,복직근,복직근 하부,고관절굴근,맨몸,Isolation,Beginner
396,시저 킥,Scissor Kick,코어,복직근,복직근 하부,고관절굴근,맨몸,Isolation,Beginner
397,할로우 락,Hollow Rock,코어,복직근,복직근·복횡근,고관절굴근,맨몸,Isolation,Intermediate
398,L 싯,L-Sit,코어,복직근,복직근,고관절굴근·삼두근,맨몸,Isolation,Advanced
399,행잉 오블리크 레이즈,Hanging Oblique Raise,코어,복사근,복사근,복직근,맨몸,Isolation,Advanced
400,스탠딩 케이블 크런치,Standing Cable Crunch,코어,복직근,복직근,복사근,케이블,Isolation,Beginner
401,머신 힙 쓰러스트,Machine Hip Thrust,하체,둔근,대둔근,햄스트링,머신,Compound,Beginner
402,싱글 레그 힙 쓰러스트,Single-Leg Hip Thrust,하체,둔근,대둔근,햄스트링,맨몸,Isolation,Intermediate
403,밴드 힙 쓰러스트,Band Hip Thrust,하체,둔근,대둔근,햄스트링,밴드,Isolation,Beginner
404,프로그 펌프,Frog Pump,하체,둔근,대둔근,내전근,맨몸,Isolation,Beginner
405,글루트 브릿지 마치,Glute Bridge March,하체,둔근,대둔근,코어,맨몸,Isolation,Beginner
406,케이블 힙 익스텐션,Cable Hip Extension,하체,둔근,대둔근,햄스트링,케이블,Isolation,Beginner
407,케틀벨 스모 데드리프트,Kettlebell Sumo Deadlift,하체,둔근,둔근·내전근,햄스트링,케틀벨,Compound,Beginner
408,덤벨 데드리프트,Dumbbell Deadlift,하체,둔근,둔근·햄스트링,척추기립근,덤벨,Compound,Beginner
409,트랩바 스쿼트,Trap Bar Squat,하체,대퇴사두,대퇴사두·둔근,햄스트링,바벨,Compound,Beginner
410,스미스 머신 스플릿 스쿼트,Smith Machine Split Squat,하체,대퇴사두,대퇴사두·둔근,햄스트링,스미스,Compound,Beginner
411,케틀벨 런지,Kettlebell Lunge,하체,대퇴사두,대퇴사두·둔근,코어,케틀벨,Compound,Beginner
412,스텝업 윗 니 드라이브,Step-Up with Knee Drive,하체,대퇴사두,대퇴사두·둔근,고관절굴근,덤벨,Compound,Beginner
413,사이드 라잉 힙 어브덕션,Side-Lying Hip Abduction,하체,중둔근,중둔근,대둔근,맨몸,Isolation,Beginner
414,코펜하겐 플랭크,Copenhagen Plank,하체,내전근,내전근,코어,맨몸,Isolation,Advanced
415,카프 프레스 머신,Calf Press Machine,하체,비복근,비복근,가자미근,머신,Isolation,Beginner
416,싱글 레그 카프 프레스,Single-Leg Calf Press,하체,비복근,비복근,가자미근,머신,Isolation,Intermediate
417,스탠딩 토 레이즈,Standing Toe Raise,하체,전경골근,전경골근,-,맨몸,Isolation,Beginner
418,시티드 토 레이즈,Seated Toe Raise,하체,전경골근,전경골근,-,머신,Isolation,Beginner
419,밴드 토 레이즈,Band Toe Raise,하체,전경골근,전경골근,-,밴드,Isolation,Beginner
420,넥 익스텐션,Neck Extension,목,목,경판상근,승모근,맨몸,Isolation,Beginner
421,넥 플렉션,Neck Flexion,목,목,흉쇄유돌근,-,맨몸,Isolation,Beginner
422,넥 레터럴 플렉션,Neck Lateral Flexion,목,목,흉쇄유돌근,사각근,맨몸,Isolation,Beginner
423,넥 하니스 익스텐션,Neck Harness Extension,목,목,경판상근,승모근,기타,Isolation,Intermediate
424,플레이트 넥 익스텐션,Plate Neck Extension,목,목,경판상근,승모근,원판,Isolation,Intermediate
425,프론 Y 레이즈,Prone Y Raise,어깨,재활,하부승모근,후면삼각근,덤벨,Isolation,Beginner
426,프론 T 레이즈,Prone T Raise,어깨,재활,중부승모근,능형근,덤벨,Isolation,Beginner
427,프론 W 레이즈,Prone W Raise,어깨,재활,중하부승모근,능형근,덤벨,Isolation,Beginner
428,프론 L 레이즈,Prone L Raise,어깨,재활,극하근·소원근,후면삼각근,덤벨,Isolation,Beginner
429,밴드 인터널 로테이션,Band Internal Rotation,어깨,재활,견갑하근,대흉근,밴드,Isolation,Beginner
430,사이드 라잉 익스터널 로테이션,Side-Lying External Rotation,어깨,재활,극하근·소원근,후면삼각근,덤벨,Isolation,Beginner
431,90도 익스터널 로테이션,90-Degree External Rotation,어깨,재활,극하근,후면삼각근,케이블,Isolation,Intermediate
432,스탠딩 밴드 로우,Standing Band Row,등,재활,능형근,중부승모근,밴드,Compound,Beginner
433,데드 행,Dead Hang,팔,전완근,전완 굴근,광배근,맨몸,Isolation,Beginner
434,타월 풀업,Towel Pull-Up,팔,전완근,전완근·광배근,이두근,맨몸,Compound,Advanced
435,그립 크러셔,Grip Crusher,팔,전완근,전완 굴근,-,기타,Isolation,Beginner
436,케이블 리버스 컬,Cable Reverse Curl,팔,전완근,상완요골근,이두근,케이블,Isolation,Beginner
437,리스트 익스텐션 머신,Wrist Extension Machine,팔,전완근,전완 신근,-,머신,Isolation,Beginner
438,핀치 그립 데드리프트,Pinch-Grip Deadlift,팔,전완근,전완 굴근,승모근,바벨,Compound,Advanced
439,스탠딩 케이블 체스트 프레스,Standing Cable Chest Press,가슴,중부가슴,대흉근,삼두근·코어,케이블,Compound,Intermediate
440,케이블 인클라인 프레스,Cable Incline Press,가슴,상부가슴,대흉근 상부,삼두근,케이블,Compound,Intermediate
441,케이블 디클라인 프레스,Cable Decline Press,가슴,하부가슴,대흉근 하부,삼두근,케이블,Compound,Intermediate
442,싱글 암 케이블 체스트 프레스,Single-Arm Cable Chest Press,가슴,중부가슴,대흉근,코어·삼두근,케이블,Compound,Intermediate
443,하이 투 로우 케이블 찹,High-to-Low Cable Chop,코어,복사근,복사근,복직근,케이블,Compound,Intermediate
444,스탠딩 케이블 리버스 플라이,Standing Cable Reverse Fly,어깨,후면삼각근,후면삼각근,능형근,케이블,Isolation,Intermediate
445,싱글 암 케이블 프론트 레이즈,Single-Arm Cable Front Raise,어깨,전면삼각근,전면삼각근,상부승모근,케이블,Isolation,Beginner
446,비하인드 백 케이블 슈러그,Behind-the-Back Cable Shrug,등,승모근,상부승모근,전완근,케이블,Isolation,Intermediate
447,월 싯,Wall Sit,하체,대퇴사두,대퇴사두,둔근,맨몸,Isolation,Beginner
448,플랭크 업다운,Plank Up-Down,코어,복직근,복직근·복횡근,삼두근,맨몸,Compound,Intermediate
449,사이드 플랭크 힙 레이즈,Side Plank Hip Raise,코어,복사근,복사근,중둔근,맨몸,Isolation,Intermediate
450,RKC 플랭크,RKC Plank,코어,복직근,복직근·복횡근,둔근,맨몸,Isolation,Advanced
451,슈퍼맨,Superman,등,척추기립근,척추기립근,둔근,맨몸,Isolation,Beginner
452,리버스 하이퍼익스텐션,Reverse Hyperextension,하체,둔근,둔근·척추기립근,햄스트링,머신,Isolation,Intermediate
453,45도 하이퍼익스텐션,45-Degree Hyperextension,등,척추기립근,척추기립근,둔근·햄스트링,머신,Isolation,Beginner
454,GHD 백 익스텐션,GHD Back Extension,등,척추기립근,척추기립근,둔근,머신,Isolation,Intermediate
455,플랭크 숄더 탭,Plank Shoulder Tap,코어,복직근,복직근·복횡근,어깨,맨몸,Isolation,Beginner
456,베어 플랭크,Bear Plank,코어,복직근,복직근,어깨·대퇴사두,맨몸,Isolation,Beginner
457,케틀벨 하이 풀,Kettlebell High Pull,어깨,측면삼각근,측면삼각근·승모근,둔근,케틀벨,Compound,Intermediate
458,케틀벨 클린 앤 프레스,Kettlebell Clean and Press,전신,전면삼각근,둔근·삼각근,삼두근,케틀벨,Compound,Intermediate
459,더블 케틀벨 프론트 스쿼트,Double Kettlebell Front Squat,하체,대퇴사두,대퇴사두·둔근,코어,케틀벨,Compound,Intermediate
460,케틀벨 시소 프레스,Kettlebell Seesaw Press,어깨,전면삼각근,전면삼각근,코어,케틀벨,Compound,Intermediate
461,싱글 암 케틀벨 스윙,Single-Arm Kettlebell Swing,전신,둔근,둔근·햄스트링,코어,케틀벨,Compound,Intermediate
462,케틀벨 렌리게이드 로우,Kettlebell Renegade Row,등,광배근,광배근·코어,후면삼각근,케틀벨,Compound,Advanced
463,케틀벨 핼로,Kettlebell Halo,어깨,삼각근,삼각근·회전근개,코어,케틀벨,Isolation,Beginner
464,케틀벨 피겨 8,Kettlebell Figure-8,코어,코어,복사근·둔근,전완근,케틀벨,Compound,Beginner
465,밴드 체스트 프레스,Band Chest Press,가슴,중부가슴,대흉근,삼두근,밴드,Compound,Beginner
466,밴드 로우,Band Row,등,광배근,광배근·능형근,이두근,밴드,Compound,Beginner
467,밴드 풀다운,Band Pulldown,등,광배근,광배근,이두근,밴드,Compound,Beginner
468,밴드 숄더 프레스,Band Shoulder Press,어깨,전면삼각근,전면삼각근,삼두근,밴드,Compound,Beginner
469,밴드 스쿼트,Band Squat,하체,대퇴사두,대퇴사두·둔근,햄스트링,밴드,Compound,Beginner
470,밴드 데드리프트,Band Deadlift,하체,둔근,둔근·햄스트링,척추기립근,밴드,Compound,Beginner
471,밴드 우드찹,Band Woodchopper,코어,복사근,복사근,복직근,밴드,Compound,Beginner
472,밴드 풀스루,Band Pull-Through,하체,둔근,둔근·햄스트링,척추기립근,밴드,Compound,Beginner
473,해머 스트렝스 디클라인 프레스,Hammer Strength Decline Press,가슴,하부가슴,대흉근 하부,삼두근,머신,Compound,Beginner
474,해머 스트렝스 아이소레터럴 인클라인 프레스,Hammer Strength Iso-Lateral Incline Press,가슴,상부가슴,대흉근 상부,삼두근,머신,Compound,Beginner
475,해머 스트렝스 로우 로우,Hammer Strength Low Row,등,광배근,광배근 하부,이두근,머신,Compound,Beginner
476,라이프 피트니스 숄더 프레스,Life Fitness Shoulder Press,어깨,전면삼각근,전면삼각근,삼두근,머신,Compound,Beginner
